44,BARREMIAN,125,130,( 125 Ma - 130 Ma ),BARREMIAN ( 125 Ma - 130 Ma )
45,HAUTERIVIAN,130,136,( 130 Ma - 136 Ma ),HAUTERIVIAN ( 130 Ma - 136 Ma )
46,VALANGINIAN,136,140,( 136 Ma - 140 Ma ),VALANGINIAN ( 136 Ma - 140 Ma )
47,BERRIASIAN,140,145.5,( 140 Ma - 145.5 Ma ),BERRIASIAN ( 140 Ma - 145.5 Ma )
48,JURASSIC,145.5,201.60001,( 145.5 Ma - 201.6 Ma ),JURASSIC ( 145.5 Ma - 201.6 Ma )
49,LATE JURASSIC,145.5,161,( 145.5 Ma - 161 Ma ),LATE JURASSIC ( 145.5 Ma - 161 Ma )
50,TITHONIAN,145.5,151,( 145.5 Ma - 151 Ma ),TITHONIAN ( 145.5 Ma - 151 Ma )
51,KIMMERIDGIAN,151,156,( 151 Ma - 156 Ma ),KIMMERIDGIAN ( 151 Ma - 156 Ma )
52,OXFORDIAN,156,161,( 156 Ma - 161 Ma ),OXFORDIAN ( 156 Ma - 161 Ma )
53,MIDDLE JURASSIC,161,176,( 161 Ma - 176 Ma ),MIDDLE JURASSIC ( 161 Ma - 176 Ma )
54,CALLOVIAN,161,165,( 161 Ma - 165 Ma ),CALLOVIAN ( 161 Ma - 165 Ma )
55,BATHONIAN,165,168,( 165 Ma - 168 Ma ),BATHONIAN ( 165 Ma - 168 Ma )
56,BAJOCIAN,168,172,( 168 Ma - 172 Ma ),BAJOCIAN ( 168 Ma - 172 Ma )
57,AALENIAN,172,176,( 172 Ma - 176 Ma ),AALENIAN ( 172 Ma - 176 Ma )
58,EARLY JURASSIC,176,201.60001,( 176 Ma - 201.6 Ma ),EARLY JURASSIC ( 176 Ma - 201.6 Ma )
59,TOARCIAN,176,183,( 176 Ma - 183 Ma ),TOARCIAN ( 176 Ma - 183 Ma )
60,PLIENSBACHIAN,183,190,( 183 Ma - 190 Ma ),PLIENSBACHIAN ( 183 Ma - 190 Ma )
61,SINEMURIAN,190,197,( 190 Ma - 197 Ma ),SINEMURIAN ( 190 Ma - 197 Ma )
62,HETTANGIAN,197,201.60001,( 197 Ma - 201.6 Ma ),HETTANGIAN ( 197 Ma - 201.6 Ma )
63,TRIASSIC,201.60001,251,( 201.6 Ma - 251 Ma ),TRIASSIC ( 201.6 Ma - 251 Ma )
64,LATE TRIASSIC,201.60001,235,( 201.6 Ma - 235 Ma ),LATE TRIASSIC ( 201.6 Ma - 235 Ma )
65,RHAETIAN,201.60001,204,( 201.6 Ma - 204 Ma ),RHAETIAN ( 201.6 Ma - 204 Ma )
66,NORIAN,204,228,( 204 Ma - 228 Ma ),NORIAN ( 204 Ma - 228 Ma )
67,CARNIAN,228,235,( 228 Ma - 235 Ma ),CARNIAN ( 228 Ma - 235 Ma )
68,MIDDLE TRIASSIC,235,245,( 235 Ma - 245 Ma ),MIDDLE TRIASSIC ( 235 Ma - 245 Ma )
69,LADINIAN,235,241,( 235 Ma - 241 Ma ),LADINIAN ( 235 Ma - 241 Ma )
70,ANISIAN,241,245,( 241 Ma - 245 Ma ),ANISIAN ( 241 Ma - 245 Ma )
71,EARLY TRIASSIC,245,251,( 245 Ma - 251 Ma ),EARLY TRIASSIC ( 245 Ma - 251 Ma )
72,OLENEKIAN,245,250,( 245 Ma - 250 Ma ),OLENEKIAN ( 245 Ma - 250 Ma )
73,INDUAN,250,251,( 250 Ma - 251 Ma ),INDUAN ( 250 Ma - 251 Ma )
74,PALEOZOIC,251,542,( 251 Ma - 542 Ma ),PALEOZOIC ( 251 Ma - 542 Ma )
75,PERMIAN,251,299,( 251 Ma - 299 Ma ),PERMIAN ( 251 Ma - 299 Ma )
76,LATE PERMIAN,251,260,( 251 Ma - 260 Ma ),LATE PERMIAN ( 251 Ma - 260 Ma )
77,CHANGHSINGIAN,251,254,( 251 Ma - 254 Ma ),CHANGHSINGIAN ( 251 Ma - 254 Ma )
78,WUCHIAPINGIAN,254,260,( 254 Ma - 260 Ma ),WUCHIAPINGIAN ( 254 Ma - 260 Ma )
79,MIDLE PERMIAN,260,271,( 260 Ma - 271 Ma ),MIDLE PERMIAN ( 260 Ma - 271 Ma )
80,CAPITANIAN,260,266,( 260 Ma - 266 Ma ),CAPITANIAN ( 260 Ma - 266 Ma )
81,WORDIAN,266,268,( 266 Ma - 268 Ma ),WORDIAN ( 266 Ma - 268 Ma )
82,ROADIAN,268,271,( 268 Ma - 271 Ma ),ROADIAN ( 268 Ma - 271 Ma )
83,EARLY PERMIAN,271,299,( 271 Ma - 299 Ma ),EARLY PERMIAN ( 271 Ma - 299 Ma )
84,KUNGURIAN,271,276,( 271 Ma - 276 Ma ),KUNGURIAN ( 271 Ma - 276 Ma )
85,ARTINSKIAN,276,284,( 276 Ma - 284 Ma ),ARTINSKIAN ( 276 Ma - 284 Ma )
86,SAKMARIAN,284,297,( 284 Ma - 297 Ma ),SAKMARIAN ( 284 Ma - 297 Ma )
87,ASSELIAN,297,299,( 297 Ma - 299 Ma ),ASSELIAN ( 297 Ma - 299 Ma )
88,CARBONIFEROUS,299,359,( 299 Ma - 359 Ma ),CARBONIFEROUS ( 299 Ma - 359 Ma )
